"","logFC","logCPM","PValue","FDR"
"YOR063W",-0.18458719600971,12.0733745439717,1.63171303259159e-38,3.4358882611546e-37
"YMR272C",-0.906857768315873,7.21600471333053,1.65640662459491e-38,3.47551702047096e-37
"YOL030W",0.602764958202619,8.53919657637596,2.36717028841485e-38,4.94930975143134e-37
"YER042W",1.60096433323829,6.17110984119555,3.5718625237496e-38,7.44179949050225e-37
"YCR002C",1.0642532726238,7.11404742825602,6.04888003282904e-38,1.25583239137717e-36
"YGR055W",-0.824845164450717,7.63342617228346,6.61030423617873e-38,1.36759336242901e-36
"YER190C-B",1.30270311666259,7.6940740281516,1.77466668732827e-37,3.65878145955449e-36
"YPR028W",0.642139752757692,8.37091548729657,1.82196176400696e-37,3.74324574917681e-36
"YDR089W",-1.72574871361673,5.76212089906669,2.93306290671276e-37,6.00516720381293e-36
"YDR502C",-0.681269571626993,7.99752090990842,4.6413946439071e-37,9.47004555448217e-36
"YBL050W",0.957909425608445,7.29598920705193,5.49252004522384e-37,1.11681240919551e-35
"YOR215C",1.14828666133877,6.88507288806714,8.14584402326835e-37,1.65064928375612e-35
"YHR142W",0.995265790866863,7.18332803710438,8.43452282994366e-37,1.70331302337122e-35
"YNL268W",0.721630403125608,8.06690314798477,9.34199574995267e-37,1.88015608341735e-35
"YLR259C",-0.424167173886735,9.34269383267599,1.12987895326344e-36,2.2662690733762e-35
"YKL100C",0.757641612482646,7.85719164967087,1.16643141963095e-36,2.33168064525552e-35
"YOR356W",1.13491278259445,7.27194415467728,1.28831186510525e-36,2.56664690431911e-35
"YNR034W-A",-1.68470513639627,5.41272624981267,1.38776695755161e-36,2.75550908987681e-35
"YNL284C-A",4.99374583464636,4.92018491787814,1.63819258535218e-36,3.24186806940764e-35
"YER001W",-1.64679536839125,5.90597932684031,3.9057233312817e-36,7.70338831706461e-35
"YLR417W",1.3660529448547,6.53831099588571,4.78511119564299e-36,9.40647938359453e-35
"YER136W",0.634017615946438,8.30944383148355,5.02849396246515e-36,9.85218502513453e-35
"YER124C",-1.43943502916195,6.06549796591554,5.75048870765033e-36,1.12295847139165e-34
"YLR325C",0.433958226993138,9.36782530602681,6.17584657831782e-36,1.20205540144429e-34
"YDR525W-A",1.93912773293971,5.59993846870963,1.02359618583346e-35,1.98577660051691e-34
"YGR130C",0.604997683792645,8.79050888823036,1.54931022330472e-35,2.99583940891961e-34
"YPR159W",0.585683167210795,8.50409112247992,4.00308892633514e-35,7.71539973196255e-34
"YBR056W-A",-1.93014883992842,5.13341744835909,5.10634976354855e-35,9.80982842562233e-34
"YGL036W",0.877776145255741,7.43317448706174,5.4389874768172e-35,1.04150449515623e-33
"YMR195W",-1.14584076088206,6.57734800424975,8.82800570469332e-35,1.68500999208614e-33
"YAR010C",3.8917967112261,5.89294790902987,9.26809981266095e-35,1.75767136511266e-33
"YPR137C-A",3.8917967112261,5.89294790902987,9.26809981266095e-35,1.75767136511266e-33
"YBR230W-A",1.54089320751727,6.24851134863731,9.43140187276028e-35,1.78292667351829e-33
"YGR037C",0.759619238908654,8.06536388582116,1.26151916451157e-34,2.37720028548247e-33
"YGR032W",-0.728448664209444,7.85464406542884,1.9519227412299e-34,3.66651646344678e-33
"YJR029W",-2.76923590524999,9.08998162857676,2.73679292630195e-34,5.12455814712932e-33
"YMR191W",1.49801285387303,6.45395804725117,3.20574215301835e-34,5.98371492725854e-33
"YDL072C",0.624972475166856,8.31948054070844,3.39860328497526e-34,6.323753345031e-33
